,Title,Brand,Price,Ratings,Sizes,Product Url,Image Url
11,2-in-1 Men's Short Sleeve Shorts Set - Blue,Fashion ,"KSh 1,276 ",3,"['M', 'L', 'XL', 'XXL', 'XXXL', 'xxxxl']",https://www.jumia.co.ke/fashion-2-in-1-mens-short-sleeve-shorts-set-blue-15942254.html,"https://ke.jumia.is/P-SHmZNsLCRDYy9svMjHkhAPiMg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/45/224951/1.jpg?9953"
12,Round Neck Plain T-Shirt - Royal Blue ,Fashion ,KSh 380 ,,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-round-neck-plain-t-shirt-royal-blue-27700238.html,"https://ke.jumia.is/LJxtRK46_vKJt_cpTjnDdwYzC3s=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/83/200772/1.jpg?9867"
13,2 Piece Short -sleeved Shirt Mens Soprtswear Trousers Pants,Generic ,KSh 999 ,1,"['M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL']",https://www.jumia.co.ke/generic-2-piece-short-sleeved-shirt-mens-soprtswear-trousers-pants-25939828.html,"https://ke.jumia.is/y6N5wa_HHMf7MV9sjT4RMFbc688=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/82/893952/1.jpg?1114"
14,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones ,KSh 530 ,4,"['S', 'M', 'L', 'XXL']",https://www.jumia.co.ke/jack-jones-mens-short-sleeve-printed-round-neck-tee-150-grams-26322007.html,"https://ke.jumia.is/24eoqXCupnVKD3Y6I5T8CM6j3jw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/022362/1.jpg?3966"
15,2 Piece Men's Round Neck Short Sleeve Trouser+T-Shirt Dress,Generic ,KSh 998  - KSh 999 ,2,"['M', 'L', 'XL', 'XXL', 'XXXL', 'XXXXL']",https://www.jumia.co.ke/generic-2-piece-mens-round-neck-short-sleeve-trousert-shirt-dress-25786656.html,"https://ke.jumia.is/LZzXoOwYvUK5VO2FJppANGF9JYs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/65/668752/1.jpg?3900"
16,Vest Shirt 3 Piece White Comfortable Vest For Men + Pen,Fashion ,KSh 699 ,3,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-vest-shirt-3-piece-white-comfortable-vest-for-men-pen-6211229.html,"https://ke.jumia.is/8WwPBTg1ielkK2sSrB6PWtgqDEs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/92/21126/1.jpg?5306"
17,5 Pack Official Shirts - (White Blue Purple Red Pink) - Long Sleeve 100% Cotton Slim Fit,Fashion ,"KSh 5,995 ",1,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-5-pack-official-shirts-white-blue-purple-red-pink-long-sleeve-100-cotton-slim-fit-10703677.html,"https://ke.jumia.is/KvjcBvtCku2twOSxpR2jMypvxSk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/77/630701/1.jpg?0518"
18,Men's long sleeve t-shirt rock pattern - white,Generic ,KSh 799 ,3,"['M', 'L', 'XL', 'XXL', 'XXXL', 'xxxxxl', 'xxxxl']",https://www.jumia.co.ke/generic-mens-long-sleeve-t-shirt-rock-pattern-white-19674324.html,"https://ke.jumia.is/SE2pfsfFi9QF62yTrqB5iJ4ZfB8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/42/347691/1.jpg?6355"
19,Slim Fit Official Long Sleeved Shirt - Dark Blue,Official ,"KSh 1,250 ",1,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/official-slim-fit-official-long-sleeved-shirt-dark-blue-14916625.html,"https://ke.jumia.is/ytzqGk2tlcZfGx7Kl4Z36Pc6iDU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/52/661941/1.jpg?5076"
20,Round Neck Plain T-Shirt - maroon,Fashion ,KSh 380 ,,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-round-neck-plain-t-shirt-maroon-27690280.html,"https://ke.jumia.is/2YOvyZpR0EHjvmJhIylSqq_pUf0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/08/209672/1.jpg?9073"
21,Round Neck Plain T-Shirt - Black,Fashion ,KSh 380  - KSh 450 ,2,"['S', 'M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-round-neck-plain-t-shirt-black-13519104.html,"https://ke.jumia.is/F4o4CKdgD8um8wG-FeLxTocwmQg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/191531/1.jpg?3383"
22,Official Shirt  Slim fit-Blue,Fashion ,"KSh 1,250 ",3,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-official-shirt-slim-fit-blue-14679219.html,"https://ke.jumia.is/ljsRTQ5e0-d1m5a13DCRxdtOx6M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/297641/1.jpg?1286"
23,Sky Blue Formal Official Long Sleeved Shirt-Slim Fit,Fashion ,"KSh 1,199 ",2,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-sky-blue-formal-official-long-sleeved-shirt-slim-fit-16617497.html,"https://ke.jumia.is/AbEgfqqiv9uxZVHEhOEdzjbOA7g=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/79/471661/1.jpg?6785"
24,2019 New Men's Fashion Plaid Print Long-sleeved Shirt  Red,Fashion ,"KSh 1,124 ",,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-2019-new-mens-fashion-plaid-print-long-sleeved-shirt-red-25664203.html,"https://ke.jumia.is/X6zPo59J_e8bMNHGmhx0S2Rbct0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/246652/1.jpg?6367"
